Date,Open,High,Low,Close,Adj Close,Volume
2003/1/2,4460.569824,4553.109863,4431.189941,4524.870117,4524.853516,3332000
2003/1/3,4618.240234,4641.459961,4602.240234,4626.319824,4626.302734,4723600
2003/1/6,4653.990234,4710.310059,4635.870117,4689.859863,4689.842773,4714400
2003/1/7,4759.810059,4776.149902,4695.439941,4701.080078,4701.062988,5686800
2003/1/8,4722.990234,4859.779785,4722.990234,4836.930176,4836.912109,6280200
2003/1/9,4833.549805,4867.399902,4798.160156,4813.72998,4813.711914,6704200
2003/1/10,4882.069824,4884.640137,4827.910156,4850.799805,4850.78125,6148000
2003/1/13,4895.299805,5000.140137,4895.299805,4991.259766,4991.240723,5830800
2003/1/14,5014.950195,5057.209961,4985.620117,4992.419922,4992.400879,6779200
2003/1/15,5039.759766,5039.759766,4952.160156,5017.700195,5017.681152,6403200
2003/1/16,5021.540039,5082.390137,4943.290039,4943.290039,4943.271484,7516600
2003/1/17,4955.939941,4983.810059,4897.029785,4907.779785,4907.76123,5746600
2003/1/20,4875.740234,4951.029785,4875.740234,4951.029785,4951.01123,4628000
2003/1/21,4972.850098,5031.680176,4942.180176,4945.870117,4945.851563,6541800
2003/1/22,4955.709961,4993.27002,4905.790039,4993.27002,4993.250977,5901200
2003/1/23,5035.790039,5102.77002,5035.790039,5078.799805,5078.780762,7630600
2003/1/24,5141.799805,5141.799805,5053.549805,5057.319824,5057.300781,6959000
2003/1/27,5037.100098,5055.310059,4942.890137,4972.589844,4972.570801,5779600
2003/1/28,4949.470215,5023.240234,4946.939941,5015.160156,5015.141113,4853800
2003/2/6,4975.649902,4975.649902,4833.580078,4833.580078,4833.562012,4813200
2003/2/7,4797.379883,4833.839844,4641.060059,4735.370117,4735.352539,5070600
2003/2/10,4696.569824,4715.180176,4627.529785,4643.870117,4643.853027,3342600
2003/2/11,4692.819824,4704.459961,4613.620117,4618.97998,4618.962891,3414600
2003/2/12,4599.669922,4666.209961,4592.410156,4624.870117,4624.853027,3546600
2003/2/13,4616.620117,4639.560059,4507.959961,4507.959961,4507.943359,3287200
2003/2/14,4562.240234,4569.830078,4463.060059,4493.990234,4493.973633,3208200
2003/2/17,4629.569824,4707.72998,4613.359863,4705.080078,4705.062988,3502200
2003/2/18,4698.100098,4698.100098,4595.97998,4605.310059,4605.292969,3550200
2003/2/19,4670.149902,4672.029785,4550.830078,4550.830078,4550.812988,3635200
2003/2/20,4555.649902,4606.75,4520.759766,4550.700195,4550.683105,3366200
2003/2/21,4584.600098,4594.669922,4538.459961,4548.350098,4548.333008,2670400
2003/2/24,4585.799805,4613.080078,4538.549805,4609.200195,4609.183105,2485600
2003/2/25,4559.319824,4559.319824,4454.350098,4454.350098,4454.333496,2655200
2003/2/26,4478.140137,4495.640137,4436.52002,4456.689941,4456.67334,2643600
2003/2/27,4411.540039,4473.529785,4385.609863,4432.459961,4432.443848,2312200
2003/3/3,4483.439941,4546.850098,4472.169922,4526.689941,4526.67334,2435200
2003/3/4,4481.549805,4515.970215,4476.549805,4499.689941,4499.67334,2346800
2003/3/5,4457.459961,4475.970215,4411.970215,4418.109863,4418.09375,2514400
